G,variable,value
45.0,FG,0.2
44.0,FG,0.5
43.0,FG,0.3
42.0,FG,0.375
41.0,FG,0.3
40.0,FG,0.5
39.0,FG,0.35
38.0,FG,0.7
37.0,FG,0.4
36.0,FG,0.15
35.0,FG,0.6
34.0,FG,0.6
33.0,FG,0.375
32.0,FG,0.4
31.0,FG,0.3
30.0,FG,0.3
29.0,FG,0.375
28.0,FG,0.15
27.0,FG,0.225
26.0,FG,0.475
25.0,FG,0.55
24.0,FG,0.575
23.0,FG,0.225
22.0,FG,0.4
21.0,FG,0.4
20.0,FG,0.425
19.0,FG,0.525
18.0,FG,0.35
17.0,FG,0.55
16.0,FG,0.475
15.0,FG,0.325
14.0,FG,0.45
13.0,FG,0.3
12.0,FG,0.275
11.0,FG,0.7
10.0,FG,0.575
9.0,FG,0.525
8.0,FG,0.4
7.0,FG,0.35
6.0,FG,0.5
5.0,FG,0.375
4.0,FG,0.5
3.0,FG,0.55
2.0,FG,0.3
1.0,FG,0.25
82.0,FG,0.35
81.0,FG,0.325
80.0,FG,0.325
79.0,FG,0.4
78.0,FG,0.45
77.0,FG,0.45
76.0,FG,0.425
75.0,FG,0.525
74.0,FG,0.55
73.0,FG,0.125
72.0,FG,0.35
71.0,FG,0.55
70.0,FG,0.275
69.0,FG,0.425
68.0,FG,0.375
67.0,FG,0.5
66.0,FG,0.6
65.0,FG,0.25
64.0,FG,0.575
63.0,FG,0.325
62.0,FG,0.2
61.0,FG,0.2
60.0,FG,0.325
59.0,FG,0.4
58.0,FG,0.325
57.0,FG,0.5
56.0,FG,0.275
55.0,FG,0.55
54.0,FG,0.575
53.0,FG,0.425
52.0,FG,0.375
51.0,FG,0.2
50.0,FG,0.3
49.0,FG,0.325
48.0,FG,0.35
47.0,FG,0.375
46.0,FG,0.3
45.0,FG,0.3
44.0,FG,0.225
43.0,FG,0.325
42.0,FG,0.3
41.0,FG,0.4
40.0,FG,0.2
39.0,FG,0.425
38.0,FG,0.25
37.0,FG,0.525
36.0,FG,0.35
35.0,FG,0.45
34.0,FG,0.225
33.0,FG,0.35
32.0,FG,0.35
31.0,FG,0.325
30.0,FG,0.45
29.0,FG,0.425
28.0,FG,0.225
27.0,FG,0.2
26.0,FG,0.5
25.0,FG,0.35
24.0,FG,0.5
23.0,FG,0.4
22.0,FG,0.375
21.0,FG,0.325
20.0,FG,0.425
19.0,FG,0.35
18.0,FG,0.35
17.0,FG,0.35
16.0,FG,0.65
15.0,FG,0.4
14.0,FG,0.325
13.0,FG,0.2
12.0,FG,0.5
11.0,FG,0.425
10.0,FG,0.35
9.0,FG,0.475
8.0,FG,0.225
7.0,FG,0.575
6.0,FG,0.375
5.0,FG,0.475
4.0,FG,0.475
3.0,FG,0.525
2.0,FG,0.275
1.0,FG,0.25
82.0,FG,0.575
81.0,FG,0.475
80.0,FG,0.175
79.0,FG,0.4
78.0,FG,0.475
77.0,FG,0.45
76.0,FG,0.475
75.0,FG,0.425
74.0,FG,0.375
73.0,FG,0.275
72.0,FG,0.325
71.0,FG,0.475
70.0,FG,0.3
69.0,FG,0.575
68.0,FG,0.525
67.0,FG,0.1
66.0,FG,0.4
65.0,FG,0.275
64.0,FG,0.2
63.0,FG,0.575
62.0,FG,0.475
61.0,FG,0.325
60.0,FG,0.425
59.0,FG,0.225
58.0,FG,0.475
57.0,FG,0.6
56.0,FG,0.225
55.0,FG,0.325
54.0,FG,0.325
53.0,FG,0.55
52.0,FG,0.45
51.0,FG,0.5
50.0,FG,0.475
49.0,FG,0.45
48.0,FG,0.225
47.0,FG,0.55
46.0,FG,0.7
45.0,FG,0.325
44.0,FG,0.375
43.0,FG,0.575
42.0,FG,0.35
41.0,FG,0.55
40.0,FG,0.5
39.0,FG,0.25
38.0,FG,0.275
37.0,FG,0.2
36.0,FG,0.425
35.0,FG,0.25
34.0,FG,0.475
33.0,FG,0.125
32.0,FG,0.475
31.0,FG,0.275
30.0,FG,0.35
29.0,FG,0.375
28.0,FG,0.7
27.0,FG,0.7
26.0,FG,0.3
25.0,FG,0.275
24.0,FG,0.275
23.0,FG,0.55
22.0,FG,0.5
21.0,FG,0.3
20.0,FG,0.45
19.0,FG,0.45
18.0,FG,0.25
17.0,FG,0.425
16.0,FG,0.475
15.0,FG,0.575
14.0,FG,0.375
13.0,FG,0.35
12.0,FG,0.5
11.0,FG,0.225
10.0,FG,0.175
9.0,FG,0.25
8.0,FG,0.25
7.0,FG,0.275
6.0,FG,0.4
5.0,FG,0.35
4.0,FG,0.45
3.0,FG,0.125
2.0,FG,0.25
1.0,FG,0.275
82.0,FG,0.375
81.0,FG,0.375
80.0,FG,0.3
79.0,FG,0.55
78.0,FG,0.3
77.0,FG,0.35
76.0,FG,0.3
75.0,FG,0.325
74.0,FG,0.325
73.0,FG,0.25
72.0,FG,0.55
71.0,FG,0.575
70.0,FG,0.3
69.0,FG,0.475
68.0,FG,0.2
67.0,FG,0.4
66.0,FG,0.3
65.0,FG,0.475
64.0,FG,0.25
63.0,FG,0.575
62.0,FG,0.375
61.0,FG,0.625
60.0,FG,0.35
59.0,FG,0.325
58.0,FG,0.375
57.0,FG,0.475
56.0,FG,0.3
55.0,FG,0.4
54.0,FG,0.55
53.0,FG,0.2
52.0,FG,0.375
51.0,FG,0.55
50.0,FG,0.4
49.0,FG,0.325
48.0,FG,0.275
47.0,FG,0.3
46.0,FG,0.5
45.0,FG,0.5
44.0,FG,0.275
43.0,FG,0.45
42.0,FG,0.325
41.0,FG,0.175
40.0,FG,0.55
39.0,FG,0.475
38.0,FG,0.525
37.0,FG,0.3
36.0,FG,0.225
35.0,FG,0.1
34.0,FG,0.3
33.0,FG,0.2
32.0,FG,0.225
31.0,FG,0.35
30.0,FG,0.475
29.0,FG,0.375
28.0,FG,0.375
27.0,FG,0.3
26.0,FG,0.225
25.0,FG,0.4
24.0,FG,0.225
23.0,FG,0.3
22.0,FG,0.375
21.0,FG,0.325
20.0,FG,0.125
19.0,FG,0.275
18.0,FG,0.425
17.0,FG,0.45
16.0,FG,0.125
15.0,FG,0.175
14.0,FG,0.375
13.0,FG,0.375
12.0,FG,0.3
11.0,FG,0.425
10.0,FG,0.4
9.0,FG,0.45
8.0,FG,0.325
7.0,FG,0.275
6.0,FG,0.225
5.0,FG,0.35
4.0,FG,0.475
3.0,FG,0.675
