Full Date,Month,Year,Word Count,Sentiment
January 1884,January,1884,210,0.09603174603174604
January 1883,January,1883,1550,0.14563568376068373
April 1885,April,1885,1960,0.1179932991160536
April 1889,April,1889,1647,0.08265778591281947
April 1878,April,1878,2130,0.26140522380008374
December 1889,December,1889,1309,0.17454449630230884
March 1884,March,1884,1046,0.23635745207173775
May 1890,May,1890,534,0.06977169655741085
May 1881,May,1881,209,0.02196275946275946
May 1890,May,1890,729,0.12119140916554712
May 1888,May,1888,1867,0.06904004973201402
May 1888,May,1888,1517,0.15601234916452303
December 1882,December,1882,1494,0.12437025534851617
March 1879,March,1879,559,0.2156003310415075
April 1888,April,1888,560,0.09949675324675326
January 1882,January,1882,650,0.23989853896103888
October 1885,October,1885,654,0.16177579365079367
March 1876,March,1876,297,0.2797101449275362
October 1888,October,1888,1938,0.16830746676491362
January 1889,January,1889,3245,0.058825201531968435
August 1883,August,1883,2478,0.05855433429974715
June 1876,June,1876,1076,0.07495645227788084
November 1889,November,1889,1299,0.19745228049025515
October 1876,October,1876,1244,0.17289702581369246
July 1883,July,1883,2378,0.09473460410557184
August 1882,August,1882,904,0.1349489795918367
August 1888,August,1888,1116,0.17445959595959593
September 1888,September,1888,1495,0.15842048302574613
May 1883,May,1883,728,0.08548726467331122
April 1888,April,1888,792,0.09192352092352095
November 1883,November,1883,2256,0.08936903882025832
April 1877,April,1877,870,0.14267217630853996
February 1878,February,1878,1925,0.14115850267920332
March 1885,March,1885,905,0.16453463203463192
June 1888,June,1888,1059,0.0778992691895918
May 1888,May,1888,541,0.11845348529021998
