G,variable,value
52.0,TS%,0.5710000000000001
51.0,TS%,0.527
50.0,TS%,0.545
49.0,TS%,0.55
48.0,TS%,0.565
47.0,TS%,0.539
46.0,TS%,0.535
45.0,TS%,0.485
44.0,TS%,0.545
43.0,TS%,0.532
42.0,TS%,0.602
41.0,TS%,0.596
40.0,TS%,0.532
39.0,TS%,0.545
38.0,TS%,0.404
37.0,TS%,0.512
36.0,TS%,0.51
35.0,TS%,0.5660000000000001
34.0,TS%,0.513
33.0,TS%,0.536
32.0,TS%,0.612
31.0,TS%,0.463
30.0,TS%,0.515
29.0,TS%,0.466
28.0,TS%,0.483
27.0,TS%,0.55
26.0,TS%,0.507
25.0,TS%,0.439
24.0,TS%,0.556
23.0,TS%,0.596
22.0,TS%,0.523
21.0,TS%,0.623
20.0,TS%,0.5720000000000001
19.0,TS%,0.579
18.0,TS%,0.527
17.0,TS%,0.5589999999999999
16.0,TS%,0.504
15.0,TS%,0.5870000000000001
14.0,TS%,0.455
13.0,TS%,0.564
12.0,TS%,0.468
11.0,TS%,0.456
10.0,TS%,0.489
9.0,TS%,0.544
8.0,TS%,0.483
7.0,TS%,0.555
6.0,TS%,0.542
5.0,TS%,0.5589999999999999
4.0,TS%,0.637
3.0,TS%,0.454
2.0,TS%,0.638
1.0,TS%,0.58
82.0,TS%,0.617
81.0,TS%,0.475
80.0,TS%,0.542
79.0,TS%,0.602
78.0,TS%,0.48
77.0,TS%,0.5870000000000001
76.0,TS%,0.706
75.0,TS%,0.501
74.0,TS%,0.588
73.0,TS%,0.642
72.0,TS%,0.4920000000000001
71.0,TS%,0.491
70.0,TS%,0.55
69.0,TS%,0.525
68.0,TS%,0.583
67.0,TS%,0.47
66.0,TS%,0.586
65.0,TS%,0.446
64.0,TS%,0.527
63.0,TS%,0.49
62.0,TS%,0.537
61.0,TS%,0.597
60.0,TS%,0.64
59.0,TS%,0.593
58.0,TS%,0.575
57.0,TS%,0.544
56.0,TS%,0.449
55.0,TS%,0.606
54.0,TS%,0.527
53.0,TS%,0.51
52.0,TS%,0.476
51.0,TS%,0.506
50.0,TS%,0.584
49.0,TS%,0.564
48.0,TS%,0.514
47.0,TS%,0.674
46.0,TS%,0.398
45.0,TS%,0.56
44.0,TS%,0.589
43.0,TS%,0.477
42.0,TS%,0.682
41.0,TS%,0.494
40.0,TS%,0.669
39.0,TS%,0.619
38.0,TS%,0.59
37.0,TS%,0.599
36.0,TS%,0.472
35.0,TS%,0.6609999999999999
34.0,TS%,0.643
33.0,TS%,0.529
32.0,TS%,0.593
31.0,TS%,0.49
30.0,TS%,0.619
29.0,TS%,0.575
28.0,TS%,0.4320000000000001
27.0,TS%,0.471
26.0,TS%,0.59
25.0,TS%,0.581
24.0,TS%,0.619
23.0,TS%,0.5579999999999999
22.0,TS%,0.66
21.0,TS%,0.626
20.0,TS%,0.557
19.0,TS%,0.573
18.0,TS%,0.665
17.0,TS%,0.546
16.0,TS%,0.617
15.0,TS%,0.505
14.0,TS%,0.597
13.0,TS%,0.5760000000000001
12.0,TS%,0.526
11.0,TS%,0.698
10.0,TS%,0.648
9.0,TS%,0.622
8.0,TS%,0.462
7.0,TS%,0.542
6.0,TS%,0.591
5.0,TS%,0.564
4.0,TS%,0.613
3.0,TS%,0.531
2.0,TS%,0.535
1.0,TS%,0.55
82.0,TS%,0.557
81.0,TS%,0.513
80.0,TS%,0.581
79.0,TS%,0.488
78.0,TS%,0.672
77.0,TS%,0.611
76.0,TS%,0.605
75.0,TS%,0.574
74.0,TS%,0.638
73.0,TS%,0.438
72.0,TS%,0.459
71.0,TS%,0.557
70.0,TS%,0.5479999999999999
69.0,TS%,0.602
68.0,TS%,0.534
67.0,TS%,0.594
66.0,TS%,0.6890000000000001
65.0,TS%,0.499
64.0,TS%,0.68
63.0,TS%,0.502
62.0,TS%,0.541
61.0,TS%,0.509
60.0,TS%,0.593
59.0,TS%,0.624
58.0,TS%,0.586
57.0,TS%,0.54
56.0,TS%,0.483
55.0,TS%,0.62
54.0,TS%,0.5489999999999999
53.0,TS%,0.5770000000000001
52.0,TS%,0.485
51.0,TS%,0.507
50.0,TS%,0.507
49.0,TS%,0.487
48.0,TS%,0.578
47.0,TS%,0.574
46.0,TS%,0.636
45.0,TS%,0.547
44.0,TS%,0.522
43.0,TS%,0.574
42.0,TS%,0.546
41.0,TS%,0.57
40.0,TS%,0.522
39.0,TS%,0.535
38.0,TS%,0.498
37.0,TS%,0.589
36.0,TS%,0.6579999999999999
35.0,TS%,0.607
34.0,TS%,0.501
33.0,TS%,0.659
32.0,TS%,0.616
31.0,TS%,0.509
30.0,TS%,0.555
29.0,TS%,0.502
28.0,TS%,0.504
27.0,TS%,0.5329999999999999
26.0,TS%,0.633
25.0,TS%,0.528
24.0,TS%,0.616
23.0,TS%,0.524
22.0,TS%,0.57
21.0,TS%,0.608
20.0,TS%,0.66
19.0,TS%,0.521
18.0,TS%,0.6859999999999999
17.0,TS%,0.581
16.0,TS%,0.6940000000000001
15.0,TS%,0.594
14.0,TS%,0.5329999999999999
13.0,TS%,0.411
12.0,TS%,0.593
11.0,TS%,0.544
10.0,TS%,0.529
9.0,TS%,0.618
8.0,TS%,0.526
7.0,TS%,0.5429999999999999
6.0,TS%,0.504
5.0,TS%,0.672
4.0,TS%,0.59
3.0,TS%,0.698
2.0,TS%,0.545
1.0,TS%,0.569
82.0,TS%,0.602
81.0,TS%,0.578
80.0,TS%,0.419
79.0,TS%,0.5820000000000001
78.0,TS%,0.595
77.0,TS%,0.617
76.0,TS%,0.628
75.0,TS%,0.55
74.0,TS%,0.5670000000000001
73.0,TS%,0.496
72.0,TS%,0.5589999999999999
71.0,TS%,0.632
70.0,TS%,0.456
69.0,TS%,0.605
68.0,TS%,0.612
67.0,TS%,0.456
66.0,TS%,0.5920000000000001
65.0,TS%,0.5660000000000001
64.0,TS%,0.456
63.0,TS%,0.595
62.0,TS%,0.7170000000000001
61.0,TS%,0.544
60.0,TS%,0.618
59.0,TS%,0.568
58.0,TS%,0.618
57.0,TS%,0.706
56.0,TS%,0.507
55.0,TS%,0.5870000000000001
54.0,TS%,0.502
53.0,TS%,0.539
52.0,TS%,0.603
51.0,TS%,0.535
50.0,TS%,0.602
49.0,TS%,0.5670000000000001
48.0,TS%,0.544
47.0,TS%,0.648
46.0,TS%,0.631
45.0,TS%,0.523
44.0,TS%,0.63
43.0,TS%,0.519
42.0,TS%,0.6559999999999999
41.0,TS%,0.6729999999999999
40.0,TS%,0.578
39.0,TS%,0.525
38.0,TS%,0.474
37.0,TS%,0.53
36.0,TS%,0.524
35.0,TS%,0.498
34.0,TS%,0.659
33.0,TS%,0.5329999999999999
32.0,TS%,0.594
31.0,TS%,0.5489999999999999
30.0,TS%,0.515
29.0,TS%,0.573
28.0,TS%,0.716
27.0,TS%,0.6890000000000001
26.0,TS%,0.508
25.0,TS%,0.588
24.0,TS%,0.55
23.0,TS%,0.652
22.0,TS%,0.619
21.0,TS%,0.542
20.0,TS%,0.606
19.0,TS%,0.633
18.0,TS%,0.519
17.0,TS%,0.595
16.0,TS%,0.579
15.0,TS%,0.684
14.0,TS%,0.555
13.0,TS%,0.574
12.0,TS%,0.597
11.0,TS%,0.616
10.0,TS%,0.517
9.0,TS%,0.545
8.0,TS%,0.5539999999999999
7.0,TS%,0.523
6.0,TS%,0.556
5.0,TS%,0.515
4.0,TS%,0.579
3.0,TS%,0.423
2.0,TS%,0.532
1.0,TS%,0.506
82.0,TS%,0.551
81.0,TS%,0.56
80.0,TS%,0.584
79.0,TS%,0.5720000000000001
78.0,TS%,0.557
77.0,TS%,0.593
76.0,TS%,0.5429999999999999
75.0,TS%,0.521
74.0,TS%,0.636
73.0,TS%,0.475
72.0,TS%,0.669
71.0,TS%,0.595
70.0,TS%,0.537
69.0,TS%,0.633
68.0,TS%,0.459
67.0,TS%,0.4920000000000001
66.0,TS%,0.5539999999999999
65.0,TS%,0.5670000000000001
64.0,TS%,0.568
63.0,TS%,0.557
62.0,TS%,0.573
61.0,TS%,0.679
60.0,TS%,0.5920000000000001
59.0,TS%,0.52
58.0,TS%,0.531
57.0,TS%,0.5670000000000001
56.0,TS%,0.5920000000000001
55.0,TS%,0.65
54.0,TS%,0.6779999999999999
53.0,TS%,0.453
52.0,TS%,0.602
51.0,TS%,0.53
50.0,TS%,0.611
49.0,TS%,0.5429999999999999
48.0,TS%,0.57
47.0,TS%,0.54
46.0,TS%,0.617
45.0,TS%,0.675
44.0,TS%,0.535
43.0,TS%,0.626
42.0,TS%,0.506
41.0,TS%,0.529
40.0,TS%,0.5670000000000001
39.0,TS%,0.621
38.0,TS%,0.705
37.0,TS%,0.528
36.0,TS%,0.496
35.0,TS%,0.5329999999999999
34.0,TS%,0.536
33.0,TS%,0.503
32.0,TS%,0.52
31.0,TS%,0.562
30.0,TS%,0.568
29.0,TS%,0.5660000000000001
28.0,TS%,0.569
27.0,TS%,0.511
26.0,TS%,0.519
25.0,TS%,0.616
24.0,TS%,0.605
23.0,TS%,0.5429999999999999
22.0,TS%,0.5489999999999999
21.0,TS%,0.59
20.0,TS%,0.542
19.0,TS%,0.624
18.0,TS%,0.642
17.0,TS%,0.6459999999999999
16.0,TS%,0.465
15.0,TS%,0.54
14.0,TS%,0.578
13.0,TS%,0.527
12.0,TS%,0.531
11.0,TS%,0.599
10.0,TS%,0.575
9.0,TS%,0.59
8.0,TS%,0.583
7.0,TS%,0.5379999999999999
6.0,TS%,0.547
5.0,TS%,0.593
4.0,TS%,0.6709999999999999
3.0,TS%,0.6940000000000001
2.0,TS%,0.568
1.0,TS%,0.5539999999999999
82.0,TS%,0.507
81.0,TS%,0.5589999999999999
80.0,TS%,0.495
79.0,TS%,0.534
78.0,TS%,0.5710000000000001
77.0,TS%,0.5529999999999999
76.0,TS%,0.505
75.0,TS%,0.483
74.0,TS%,0.442
73.0,TS%,0.551
72.0,TS%,0.505
71.0,TS%,0.503
70.0,TS%,0.523
69.0,TS%,0.502
68.0,TS%,0.478
67.0,TS%,0.507
66.0,TS%,0.517
65.0,TS%,0.5760000000000001
64.0,TS%,0.584
63.0,TS%,0.529
62.0,TS%,0.458
61.0,TS%,0.665
60.0,TS%,0.434
59.0,TS%,0.573
58.0,TS%,0.414
57.0,TS%,0.629
56.0,TS%,0.414
55.0,TS%,0.526
54.0,TS%,0.53
53.0,TS%,0.5429999999999999
52.0,TS%,0.5760000000000001
51.0,TS%,0.66
50.0,TS%,0.6579999999999999
49.0,TS%,0.436
48.0,TS%,0.386
47.0,TS%,0.622
46.0,TS%,0.551
45.0,TS%,0.536
44.0,TS%,0.513
43.0,TS%,0.482
42.0,TS%,0.541
41.0,TS%,0.412
40.0,TS%,0.502
39.0,TS%,0.561
38.0,TS%,0.547
37.0,TS%,0.564
36.0,TS%,0.419
35.0,TS%,0.484
34.0,TS%,0.4970000000000001
33.0,TS%,0.449
32.0,TS%,0.659
31.0,TS%,0.5710000000000001
30.0,TS%,0.524
29.0,TS%,0.488
28.0,TS%,0.525
27.0,TS%,0.445
26.0,TS%,0.501
25.0,TS%,0.505
24.0,TS%,0.5660000000000001
23.0,TS%,0.557
22.0,TS%,0.675
21.0,TS%,0.5870000000000001
20.0,TS%,0.565
19.0,TS%,0.487
18.0,TS%,0.511
17.0,TS%,0.603
16.0,TS%,0.476
15.0,TS%,0.62
14.0,TS%,0.603
13.0,TS%,0.638
