G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
32,241.35135135135135,39.189189189189186,90.15,0.44998333333333346,13.364864864864865,21.819444444444443,0.5346956521739129,18.444444444444443,25.31111111111111,17.78908474576271,15.649122807017545,28.441860465116278,39.044444444444444,23.456521739130434,16.0,49.26027397260274,14.878048780487806,23.073170731707318,101.8048780487805,0.5354615384615385,0.524918918918919,0.35602702702702704,0.25737837837837835,10.496270270270271,41.05135135135136,65.62432432432433,53.06216216216217,42.61081081081082,8.537837837837838,9.945945945945942,43.975675675675674,102.7972972972973,107.37027027027028,104.82083333333331,,102.14864864864865,101.36486486486487,19.324324324324323,12.675675675675675
33,240.67567567567568,39.66216216216216,91.359375,0.4520624999999999,12.756756756756756,22.042857142857144,0.5176764705882353,19.0,25.77777777777778,20.310442622950816,17.1,27.558139534883722,38.4,22.95744680851064,14.805970149253731,49.273972602739725,14.7,23.29268292682927,102.53658536585365,0.5422307692307691,0.517081081081081,0.33886486486486483,0.2844594594594595,11.478405405405404,40.508108108108104,63.80540540540541,51.71351351351352,41.32162162162162,8.135135135135137,8.789189189189191,44.11891891891892,103.99189189189192,105.32972972972972,107.02916666666668,,102.86486486486487,101.55405405405405,19.89189189189189,13.108108108108109
34,241.01351351351352,38.391891891891895,86.75409836065573,0.45552459016393443,14.77027027027027,24.041666666666668,0.5433239436619718,18.4,25.044444444444444,16.80927118644068,14.527272727272727,27.952380952380953,39.45454545454545,23.644444444444446,15.166666666666666,48.50684931506849,14.75,22.075,102.26829268292683,0.5475384615384615,0.522972972972973,0.35527027027027014,0.269027027027027,9.778702702702702,42.79729729729729,63.57837837837835,52.75675675675676,42.57297297297298,8.491891891891894,9.36216216216216,43.84594594594594,103.39999999999999,105.8945945945946,107.65833333333332,,101.83783783783784,99.94594594594595,20.43243243243243,13.567567567567568
35,241.01351351351352,39.486486486486484,89.25396825396825,0.449063492063492,13.04054054054054,23.070422535211268,0.5126478873239436,18.931818181818183,24.977272727272727,19.844983606557374,16.57377049180328,28.024390243902438,38.40909090909091,23.0,15.447761194029852,50.25,15.475,21.463414634146343,101.29268292682927,0.5506153846153846,0.516027027027027,0.3411081081081081,0.28916216216216223,11.112027027027027,40.47837837837838,64.47297297297295,51.024324324324326,42.77027027027027,8.181081081081082,9.21891891891892,44.28108108108108,103.76756756756758,105.3162162162162,106.63333333333337,,102.6891891891892,101.13513513513513,20.986486486486488,14.013513513513514
36,242.02702702702703,40.2972972972973,91.11864406779661,0.45659322033898303,12.662162162162161,22.13888888888889,0.48270833333333335,17.41860465116279,23.069767441860463,16.611931034482758,16.418181818181818,29.70731707317073,40.72093023255814,24.738095238095237,14.234375,49.111111111111114,14.692307692307692,23.0,104.90243902439025,0.5671538461538461,0.5216216216216217,0.33564864864864863,0.2672702702702703,12.309945945945946,40.70540540540541,66.52432432432431,53.75675675675676,40.45675675675675,7.864864864864865,9.878378378378379,43.7054054054054,104.93243243243242,106.63783783783788,103.7375,,103.16216216216216,101.86486486486487,21.45945945945946,14.54054054054054
37,241.01351351351352,39.729729729729726,89.66129032258064,0.46408064516129,13.35135135135135,21.78082191780822,0.5515205479452054,18.88095238095238,24.452380952380953,18.798000000000002,16.56140350877193,28.375,39.604651162790695,25.022727272727273,14.890625,49.513888888888886,14.64102564102564,22.609756097560975,104.53658536585365,0.569076923076923,0.5421891891891892,0.3569459459459459,0.2652432432432433,11.27427027027027,42.297297297297305,66.27567567567569,55.00270270270271,43.035135135135135,8.91081081081081,9.48108108108108,43.78918918918919,104.7,109.94054054054052,107.0625,,103.35135135135135,101.71621621621621,22.027027027027028,14.972972972972974
38,241.6891891891892,40.608108108108105,91.0,0.45759677419354833,14.175675675675675,22.95774647887324,0.5648450704225352,18.095238095238095,24.547619047619047,19.94593220338983,17.344827586206897,29.35,41.54761904761905,23.837209302325583,14.0,52.486111111111114,14.15,22.682926829268293,102.8048780487805,0.5516923076923077,0.5231351351351349,0.34732432432432436,0.26859459459459456,13.073,40.85675675675676,64.68378378378378,52.54864864864865,42.56486486486487,8.210810810810813,9.654054054054056,42.91621621621622,104.52972972972974,108.14864864864867,106.27499999999999,,105.51351351351352,100.58108108108108,22.66216216216216,15.337837837837839
39,242.36486486486487,39.25675675675676,90.10169491525424,0.4549152542372882,13.891891891891891,23.09722222222222,0.49885915492957744,16.91304347826087,23.891304347826086,17.277929824561404,15.789473684210526,28.113636363636363,38.46666666666667,23.31111111111111,14.515625,48.64383561643836,14.65,21.525,102.34146341463415,0.5391538461538461,0.526972972972973,0.35124324324324324,0.25359459459459455,11.382162162162162,41.22702702702703,66.38648648648648,51.96756756756757,41.167567567567566,7.929729729729729,9.867567567567567,43.37837837837838,102.79189189189188,106.30540540540541,105.79999999999997,,101.91891891891892,99.9054054054054,23.22972972972973,15.77027027027027
40,241.35135135135135,40.67567567567568,90.95238095238095,0.45768253968253964,13.85135135135135,23.136986301369863,0.5141388888888889,18.069767441860463,24.813953488372093,18.322728813559323,15.639344262295081,30.204545454545453,41.76744186046512,25.25,15.253968253968255,49.7972972972973,15.0,23.170731707317074,105.26829268292683,0.5566923076923077,0.5305945945945947,0.3555675675675676,0.2748108108108107,11.221675675675675,42.43783783783783,66.76756756756758,54.23513513513513,43.11351351351351,8.90810810810811,10.097297297297299,43.87027027027027,104.02162162162162,107.21621621621621,106.74166666666666,,105.3108108108108,103.29729729729729,23.81081081081081,16.18918918918919
41,241.01351351351352,39.24324324324324,90.24615384615385,0.44401538461538476,13.945945945945946,22.83783783783784,0.5277397260273972,19.627906976744185,26.0,19.0455,17.129032258064516,28.74418604651163,40.651162790697676,22.727272727272727,15.061538461538461,50.87837837837838,14.512195121951219,21.878048780487806,100.34146341463415,0.5416923076923076,0.5161891891891892,0.3351891891891891,0.28324324324324335,11.928891891891892,39.58108108108109,64.78648648648648,53.38378378378379,43.581081081081074,8.281081081081082,9.86216216216216,43.91891891891892,103.75945945945946,106.25675675675677,105.77499999999999,,103.35135135135135,101.06756756756756,24.37837837837838,16.62162162162162
