,date,reading,warning
361,2019-04-20 11:01:00,56, Moderate
362,2019-04-20 12:00:00,52, Moderate
363,2019-04-20 13:01:00,45, Good
364,2019-04-20 14:00:00,45, Good
365,2019-04-20 15:01:00,37, Good
366,2019-04-20 16:01:00,31, Good
367,2019-04-20 17:01:00,43, Good
368,2019-04-20 18:01:00,51, Moderate
369,2019-04-20 19:01:00,54, Moderate
370,2019-04-20 20:01:00,59, Moderate
371,2019-04-20 21:00:00,62, Moderate
372,2019-04-20 22:00:00,68, Moderate
373,2019-04-20 23:01:00,67, Moderate
374,2019-04-21 00:00:00,67, Moderate
375,2019-04-21 01:00:00,63, Moderate
376,2019-04-21 02:00:00,62, Moderate
377,2019-04-21 03:01:00,54, Moderate
378,2019-04-21 04:01:00,52, Moderate
379,2019-04-21 05:01:00,48, Good
380,2019-04-21 06:01:00,56, Moderate
381,2019-04-21 07:01:00,45, Good
382,2019-04-21 08:01:00,31, Good
383,2019-04-21 09:01:00,34, Good
384,2019-04-21 10:01:00,40, Good
385,2019-04-21 11:01:00,62, Moderate
386,2019-04-21 12:00:00,83, Moderate
387,2019-04-21 13:01:00,62, Moderate
388,2019-04-21 14:01:00,51, Moderate
389,2019-04-21 15:01:00,42, Good
390,2019-04-21 16:01:00,46, Good
391,2019-04-21 17:01:00,46, Good
392,2019-04-21 18:01:00,40, Good
393,2019-04-21 19:00:00,30, Good
394,2019-04-21 20:01:00,25, Good
395,2019-04-21 21:00:00,66, Moderate
396,2019-04-21 22:01:00,68, Moderate
397,2019-04-21 23:01:00,58, Moderate
398,2019-04-22 00:01:00,71, Moderate
399,2019-04-22 01:00:00,58, Moderate
400,2019-04-22 02:00:00,62, Moderate
401,2019-04-22 03:00:00,57, Moderate
402,2019-04-22 04:00:00,52, Moderate
403,2019-04-22 05:01:00,47, Good
404,2019-04-22 06:01:00,44, Good
405,2019-04-22 07:01:00,45, Good
406,2019-04-22 08:00:00,60, Moderate
407,2019-04-22 09:01:00,69, Moderate
408,2019-04-22 10:00:00,62, Moderate
409,2019-04-22 11:01:00,59, Moderate
410,2019-04-22 12:01:00,57, Moderate
411,2019-04-22 13:01:00,57, Moderate
412,2019-04-22 14:00:00,50, Good
413,2019-04-22 15:01:00,38, Good
414,2019-04-22 16:01:00,29, Good
415,2019-04-22 17:01:00,25, Good
416,2019-04-22 18:01:00,35, Good
417,2019-04-22 19:01:00,55, Moderate
418,2019-04-22 20:01:00,60, Moderate
419,2019-04-22 21:01:00,64, Moderate
420,2019-04-22 22:00:00,56, Moderate
421,2019-04-22 23:00:00,52, Moderate
422,2019-04-23 00:00:00,56, Moderate
423,2019-04-23 01:01:00,54, Moderate
424,2019-04-23 02:01:00,54, Moderate
425,2019-04-23 03:01:00,53, Moderate
426,2019-04-23 04:01:00,54, Moderate
427,2019-04-23 05:01:00,56, Moderate
428,2019-04-23 06:01:00,53, Moderate
429,2019-04-23 07:01:00,59, Moderate
430,2019-04-23 08:01:00,62, Moderate
431,2019-04-23 09:01:00,66, Moderate
432,2019-04-23 10:01:00,69, Moderate
433,2019-04-23 11:01:00,65, Moderate
434,2019-04-23 12:00:00,60, Moderate
435,2019-04-23 13:01:00,53, Moderate
436,2019-04-23 14:00:00,51, Moderate
437,2019-04-23 15:01:00,50, Good
438,2019-04-23 16:01:00,54, Moderate
439,2019-04-23 17:01:00,53, Moderate
440,2019-04-23 18:01:00,52, Moderate
441,2019-04-23 19:01:00,54, Moderate
442,2019-04-23 20:01:00,63, Moderate
443,2019-04-23 21:01:00,65, Moderate
444,2019-04-23 22:01:00,71, Moderate
445,2019-04-23 23:01:00,82, Moderate
446,2019-04-24 00:01:00,74, Moderate
447,2019-04-24 01:01:00,63, Moderate
448,2019-04-24 02:01:00,55, Moderate
449,2019-04-24 03:01:00,55, Moderate
450,2019-04-24 04:01:00,53, Moderate
451,2019-04-24 05:01:00,58, Moderate
452,2019-04-24 06:01:00,73, Moderate
453,2019-04-24 07:01:00,87, Moderate
454,2019-04-24 08:01:00,93, Moderate
455,2019-04-24 09:01:00,89, Moderate
456,2019-04-24 10:00:00,115, Unhealthy for Sensitive Groups
457,2019-04-24 11:01:00,102, Unhealthy for Sensitive Groups
458,2019-04-24 12:00:00,89, Moderate
459,2019-04-24 13:01:00,89, Moderate
460,2019-04-24 14:00:00,77, Moderate
461,2019-04-24 15:01:00,75, Moderate
462,2019-04-24 16:01:00,79, Moderate
463,2019-04-24 17:01:00,80, Moderate
464,2019-04-24 18:01:00,81, Moderate
465,2019-04-24 19:01:00,179, Unhealthy
466,2019-04-24 20:01:00,167, Unhealthy
467,2019-04-24 21:00:00,155, Unhealthy
468,2019-04-24 22:00:00,125, Unhealthy for Sensitive Groups
469,2019-04-24 23:00:00,94, Moderate
