Name,Team,Number,Year
,,91,1950
,,92,1950
,,93,1950
,,94,1950
,,95,1950
Don Ray,TRI,96,1950
,,97,1950
,,98,1950
George Mikan,MNL,99,1950
,,0,1951
,,1,1951
,,2,1951
Curly Armstrong,FTW,3,1951
Joe Dolhon,BLB,4,1951
Sonny Hertzberg,BOS,4,1951
John Oldham,FTW,4,1951
Kenny Sailors,BLB,4,1951
Dolph Schayes,SYR,4,1951
Nelson Bobb,PHW,5,1951
Tommy Byrnes,BLB,5,1951
Gene James,BLB,5,1951
Ralph Johnson,FTW,5,1951
Ed Leede,BOS,5,1951
Johnny Macknowski,SYR,5,1951
Paul Walther,INO,5,1951
Max Zaslofsky,NYK,5,1951
Duane Klueh,FTW,6,1951
Tony Lavelli,NYK,6,1951
Ron Livingstone,PHW,6,1951
George Ratkovicz,SYR,6,1951
Red Rocha,BLB,6,1951
Bill Gabor,SYR,7,1951
Bruce Hale,INO,7,1951
Ray Lumpp,NYK,7,1951
Dick Mehen,BLB,7,1951
Andy Phillip,PHW,7,1951
Brady Walker,BLB,7,1951
Billy Hassett,BLB,8,1951
Bob Lavoy,INO,8,1951
Fred Schaus,FTW,8,1951
George Senesky,PHW,8,1951
Paul Seymour,SYR,8,1951
Belus Smawley,BLB,8,1951
Leon Blevins,INO,9,1951
Gerry Calabrese,SYR,9,1951
John Hargis,TRI,9,1951
Bob Harris,FTW,9,1951
Ken Murray,FTW,9,1951
Jim Riffey,FTW,9,1951
Herb Scherer,TRI,9,1951
Ernie Vandeweghe,NYK,9,1951
Cliff Barker,INO,10,1951
Bob Carpenter,TRI,10,1951
Jack Coleman,ROC,10,1951
Hank DeZonie,TRI,10,1951
Joe Fulks,PHW,10,1951
Ed Gayda,TRI,10,1951
Alex Hannum,SYR,10,1951
Kleggie Hermsen,BOS,10,1951
Dick Mehen,FTW,10,1951
Tex Ritter,NYK,10,1951
Bill Sharman,WSC,10,1951
Paul Arizin,PHW,11,1951
Leroy Chollet,SYR,11,1951
Chuck Cooper,BOS,11,1951
Bob Davies,ROC,11,1951
Harry Gallatin,NYK,11,1951
Chuck Gilmur,WSC,11,1951
Paul Hoffman,BLB,11,1951
Don Lofgran,SYR,11,1951
Warren Perkins,TRI,11,1951
Ed Beach,MNL,12,1951
Ralph Beard,INO,12,1951
Vince Boryla,NYK,12,1951
